MajorCollege,Major,CumulativeGPA,TotalLoansAccepted,TotalGrantsAccepted,TotalScholarshipsAccepted,GraduateCount,GPA_Score,Loan_Score,Graduate_Score,EmployabilityScore,NationalAvgDebt
College of Transdisciplinary S,Trans Bus & Corp Svc,2.789527777777778,6335.333333333333,4237.038333333333,5997.835,18,0.4683809203378857,0.8107595621102769,0.029411764705882356,0.43940376618000204,
College of Transdisciplinary S,Trans Energy & Environ S & S,2.9553333333333334,3125.0,3164.3333333333335,5509.7266666666665,3,0.5542760345208873,1.0,0.003460207612456747,0.522748476092092,
College of Transdisciplinary S,Trans Engin & Tech Svc,2.4673666666666665,12500.0,3335.0,4429.05,3,0.30148623860365653,0.4473691916053927,0.003460207612456747,0.25584331520681747,
College of Transdisciplinary S,Trans Human & Health Sci,2.8441243243243246,6870.875,2896.0454545454545,3117.8720000000003,37,0.49666451182491445,0.7791908341978507,0.06228373702422145,0.45110817609658743,
College of Transdisciplinary S,Trans Soci Incl & Urbanisn,2.674625,3248.75,3272.75,6620.46,4,0.4088558508424951,0.9927052733291912,0.005190311418685121,0.46291101576136096,
College of Transdisciplinary S,Transd Educ Studies,2.800752777777778,5378.52,3084.7412,4195.700666666667,36,0.4741960008608126,0.867161111537769,0.060553633217993084,0.46799282377105367,
College of Transdisciplinary S,Transd Infor Tech Syst & Svcs,2.4155,11875.0,1183.6175,2215.255,5,0.27461685391568547,0.48421124549836647,0.006920415224913495,0.25718623978325816,
JHJ School Of Business,Accounting,2.835312195121951,6696.105263157895,3955.9492198581556,2164.907011494253,164,0.49209941241375743,0.789493035899607,0.2820069204152249,0.5182897518599525,29500.0
JHJ School Of Business,Business Administration,3.3468636363636364,13998.485436893205,2010.5,2747.394193548387,135,0.7571072362391229,0.35903754164722324,0.23183391003460208,0.48010433000019676,
JHJ School Of Business,Finance,2.76094930875576,6607.374233128834,4257.707714285714,2056.811983471074,217,0.4535759226911147,0.7947234893241026,0.3737024221453287,0.5319581425172752,28500.0
JHJ School Of Business,Management,2.671500194174757,7723.305555555556,3997.4075000000003,1836.1749635036497,515,0.4072370537385044,0.728942366249378,0.889273356401384,0.6483595382906304,
JHJ School Of Business,Management Information Systems,3.1200121212121212,8356.461538461539,3400.234935064935,2261.3965277777775,133,0.6395874297933286,0.6916195392975684,0.22837370242214533,0.5318329444332455,
JHJ School Of Business,Marketing,2.638125214899713,7820.794676806084,4010.557338129496,1251.3572413793104,349,0.3899472370850168,0.7231956471148331,0.6020761245674741,0.5535604263386988,28000.0
JHJ School Of Business,eMBusiness Administration,3.233,15250.0,,,1,0.698120491108805,0.2852641544763078,0.0,0.3648274427864143,
Liberal Arts & Behavioral Scie,Art,2.7204800000000002,6607.941176470588,4153.3232,2559.652727272727,30,0.4326109080700067,0.7946900695526607,0.05017301038062284,0.42650328720798775,
Liberal Arts & Behavioral Scie,English,3.0230759999999997,7851.108108108108,3945.296296296296,2363.592142857143,50,0.5893699375502379,0.7214087526032968,0.08477508650519032,0.4776031267526413,
Liberal Arts & Behavioral Scie,General Studies,2.689083333333333,6944.309677419355,3242.1959627329193,4103.6829032258065,216,0.4163459508478984,0.7748620592488955,0.3719723183391003,0.5105886936155581,
Liberal Arts & Behavioral Scie,History,3.1888799999999997,9605.774193548386,3394.0,1312.2216666666666,35,0.675264245881942,0.6179759486289542,0.05882352941176471,0.4731455417649925,
